"Проект / заказ";"Код 1С";"Номенклатура";"Ед. изм.";"Потребность";"Масса, кг";"Заготовки 3000 мм, шт.";"Остаток";"К заказу";"Расчётная сумма, руб.";"Статус"
"Заказ на производство № 02600000425 от 17.08.2026";"УТ000000404";"Скотч электротехнический термостойкий  25мм*66м";"шт";"15.21163636363637";"";"";"0";"15.21163636363637";"2829.364363636365";"Подтверждённый дефицит"
"Заказ на производство № 02600000425 от 17.08.2026";"УТ000003151";"Болт М6*16, DIN 6921, с фланцем, цинк, кл. 8.8";"шт";"192";"";"";"0";"192";"422.40000000000003";"Подтверждённый дефицит"
"Заказ на производство № 02600000425 от 17.08.2026";"УТ000005297";"Гайка М6, DIN 934, ГОСТ 5915-70, 5927-70, цинк, кл. 8";"шт";"192";"";"";"0";"192";"96";"Подтверждённый дефицит"
"Заказ на производство № 02600000425 от 17.08.2026";"Ц0000039669";"Заклёпка 4,8*10 ст/ст";"шт";"576";"";"";"0";"576";"639.36";"Подтверждённый дефицит"
"Заказ на производство № 02600000425 от 17.08.2026";"Ц0000056270";"Болт М6*12, DIN 6921, с фланцем, цинк, кл. 8.8";"шт";"192";"";"";"0";"192";"403.20000000000005";"Подтверждённый дефицит"
"Заказ на производство № 02600000425 от 17.08.2026";"Ц0000070687";"Лист алюминий 2,0мм Амг3 2,0*1200*3000";"кг";"30.7692";"";"";"0";"30.7692";"18243.058680000002";"Подтверждённый дефицит"
"Заказ на производство № 02600000425 от 17.08.2026";"Ц0000072624";"Шина АД0 6*160*3000 (R=3)";"кг";"436.44441599999993";"436.44441599999993";"56";"0";"436.44441599999993";"196399.98719999997";"Подтверждённый дефицит"
"Заказ на производство № 02600000425 от 17.08.2026";"Ц0000074662";"Профиль алюминиевый АП 4178  E-V.68.140  крышка АД31 3000мм  RAL7035 Шагрень";"пог.м";"41.94";"57.919140000000006";"14";"0";"41.94";"31855.526999999995";"Подтверждённый дефицит"
"Заказ на производство № 02600000425 от 17.08.2026";"Ц0000078237";"Пленка ПЭТ-Э, толщ. 250 мкм, ширина 1000 мм, Гост 24238-80";"кг";"18.70092";"";"";"0";"18.70092";"5815.98612";"Подтверждённый дефицит"
"Заказ на производство № 02600000425 от 17.08.2026";"00000004273";"Стрейч-плёнка ручная";"кг";"0.288";"";"";"";"";"";"Проверить остаток / единицу измерения"
"Заказ на производство № 02600000425 от 17.08.2026";"Ц0000059919";"Порошковый материал порошок припойный ПОС 61";"кг";"1.7279999999999995";"";"";"";"";"";"Проверить остаток / единицу измерения"
"Заказ на производство № 02600000425 от 17.08.2026";"Ц0000082813";"Ухо PE АМг3 2,0 мм";"шт";"48";"";"";"";"";"";"Проверить остаток / единицу измерения"
"Заказ на производство № 02600000425 от 17.08.2026";"Ц0000084451";"Вставка крышки секции 28×15×133,4 (KD-LZJ-K-R2) · строка 87727";"шт";"48";"";"";"";"";"";"Проверить остаток / единицу измерения"
